ID,TeamSide,RowIdx,ColIdx,X,Y,Z,Theta_rad
1,blue,6,1,175,138,166.95,-1.5707963267949
2,blue,5,1,375,138,166.95,-1.5707963267949
3,blue,4,1,575,138,166.95,-1.5707963267949
4,blue,3,1,775,138,166.95,-1.5707963267949
5,blue,2,1,975,138,166.95,-1.5707963267949
6,blue,1,1,1175,138,166.95,-1.5707963267949
7,blue,6,2,175,338,166.95,-1.5707963267949
8,blue,5,2,375,338,166.95,-1.5707963267949
9,blue,4,2,575,338,166.95,-1.5707963267949
10,blue,3,2,775,338,166.95,-1.5707963267949
11,blue,2,2,975,338,166.95,-1.5707963267949
12,blue,1,2,1175,338,166.95,-1.5707963267949
13,blue,6,3,175,538,166.95,-1.5707963267949
14,blue,5,3,375,538,166.95,-1.5707963267949
15,blue,4,3,575,538,166.95,-1.5707963267949
16,blue,3,3,775,538,166.95,-1.5707963267949
17,blue,2,3,975,538,166.95,-1.5707963267949
18,blue,1,3,1175,538,166.95,-1.5707963267949
19,blue,6,4,175,457,186.95,1.5707963267949
20,blue,5,4,375,457,186.95,1.5707963267949
21,blue,4,4,575,457,186.95,1.5707963267949
22,blue,3,4,775,457,186.95,1.5707963267949
23,blue,2,4,975,457,186.95,1.5707963267949
24,blue,1,4,1175,457,186.95,1.5707963267949
