ID,TeamSide,RowIdx,ColIdx,X,Y,Z,Theta_rad
1,red,1,1,175,138,166.95,-1.5707963267949
2,red,2,1,375,138,166.95,-1.5707963267949
3,red,3,1,575,138,166.95,-1.5707963267949
4,red,4,1,775,138,166.95,-1.5707963267949
5,red,5,1,975,138,166.95,-1.5707963267949
6,red,6,1,1175,138,166.95,-1.5707963267949
7,red,1,2,175,338,166.95,-1.5707963267949
8,red,2,2,375,338,166.95,-1.5707963267949
9,red,3,2,575,338,166.95,-1.5707963267949
10,red,4,2,775,338,166.95,-1.5707963267949
11,red,5,2,975,338,166.95,-1.5707963267949
12,red,6,2,1175,338,166.95,-1.5707963267949
13,red,1,3,175,538,166.95,-1.5707963267949
14,red,2,3,375,538,166.95,-1.5707963267949
15,red,3,3,575,538,166.95,-1.5707963267949
16,red,4,3,775,538,166.95,-1.5707963267949
17,red,5,3,975,538,166.95,-1.5707963267949
18,red,6,3,1175,538,166.95,-1.5707963267949
19,red,1,4,175,457,186.95,1.5707963267949
20,red,2,4,375,457,186.95,1.5707963267949
21,red,3,4,575,457,186.95,1.5707963267949
22,red,4,4,775,457,186.95,1.5707963267949
23,red,5,4,975,457,186.95,1.5707963267949
24,red,6,4,1175,457,186.95,1.5707963267949
