ID,TeamSide,GroupIdx,PositionIdx,RowIdx,ColIdx,X,Y,Z,Theta_rad
1,blue,1,1,1,1,1256.2,-71.65,294.35,-1.5707963267949
2,blue,1,2,1,2,1182.72,-71.65,294.35,-1.5707963267949
3,blue,1,3,1,3,1109.24,-71.65,294.35,-1.5707963267949
4,blue,1,4,2,1,1219.46,-185.65,294.35,1.5707963267949
5,blue,1,5,2,2,1145.98,-185.65,294.35,1.5707963267949
6,blue,1,6,2,3,1072.5,-185.65,294.35,1.5707963267949
7,blue,2,1,1,1,1256.2,-221.65,294.35,-1.5707963267949
8,blue,2,2,1,2,1182.72,-221.65,294.35,-1.5707963267949
9,blue,2,3,1,3,1109.24,-221.65,294.35,-1.5707963267949
10,blue,2,4,2,1,1219.46,-335.65,294.35,1.5707963267949
11,blue,2,5,2,2,1145.98,-335.65,294.35,1.5707963267949
12,blue,2,6,2,3,1072.5,-335.65,294.35,1.5707963267949
13,blue,3,1,1,1,1256.2,-371.65,294.35,-1.5707963267949
14,blue,3,2,1,2,1182.72,-371.65,294.35,-1.5707963267949
15,blue,3,3,1,3,1109.24,-371.65,294.35,-1.5707963267949
16,blue,3,4,2,1,1219.46,-485.65,294.35,1.5707963267949
17,blue,3,5,2,2,1145.98,-485.65,294.35,1.5707963267949
18,blue,3,6,2,3,1072.5,-485.65,294.35,1.5707963267949
19,blue,4,1,1,1,1256.2,-521.65,294.35,-1.5707963267949
20,blue,4,2,1,2,1182.72,-521.65,294.35,-1.5707963267949
21,blue,4,3,1,3,1109.24,-521.65,294.35,-1.5707963267949
22,blue,4,4,2,1,1219.46,-635.65,294.35,1.5707963267949
23,blue,4,5,2,2,1145.98,-635.65,294.35,1.5707963267949
24,blue,4,6,2,3,1072.5,-635.65,294.35,1.5707963267949
