ID,TeamSide,GroupIdx,PositionIdx,RowIdx,ColIdx,X,Y,Z,Theta_rad
1,red,1,1,1,1,93.8,-71.65,294.35,-1.5707963267949
2,red,1,2,1,2,167.28,-71.65,294.35,-1.5707963267949
3,red,1,3,1,3,240.76,-71.65,294.35,-1.5707963267949
4,red,1,4,2,1,130.54,-185.65,294.35,1.5707963267949
5,red,1,5,2,2,204.02,-185.65,294.35,1.5707963267949
6,red,1,6,2,3,277.5,-185.65,294.35,1.5707963267949
7,red,2,1,1,1,93.8,-221.65,294.35,-1.5707963267949
8,red,2,2,1,2,167.28,-221.65,294.35,-1.5707963267949
9,red,2,3,1,3,240.76,-221.65,294.35,-1.5707963267949
10,red,2,4,2,1,130.54,-335.65,294.35,1.5707963267949
11,red,2,5,2,2,204.02,-335.65,294.35,1.5707963267949
12,red,2,6,2,3,277.5,-335.65,294.35,1.5707963267949
13,red,3,1,1,1,93.8,-371.65,294.35,-1.5707963267949
14,red,3,2,1,2,167.28,-371.65,294.35,-1.5707963267949
15,red,3,3,1,3,240.76,-371.65,294.35,-1.5707963267949
16,red,3,4,2,1,130.54,-485.65,294.35,1.5707963267949
17,red,3,5,2,2,204.02,-485.65,294.35,1.5707963267949
18,red,3,6,2,3,277.5,-485.65,294.35,1.5707963267949
19,red,4,1,1,1,93.8,-521.65,294.35,-1.5707963267949
20,red,4,2,1,2,167.28,-521.65,294.35,-1.5707963267949
21,red,4,3,1,3,240.76,-521.65,294.35,-1.5707963267949
22,red,4,4,2,1,130.54,-635.65,294.35,1.5707963267949
23,red,4,5,2,2,204.02,-635.65,294.35,1.5707963267949
24,red,4,6,2,3,277.5,-635.65,294.35,1.5707963267949
