ID,TeamSide,RowIdx,ColIdx,X,Y,Z,Theta_rad,Theta1_rad,Theta2_rad,Theta3_rad,Theta2Prime_rad,Theta4_rad
1,blue,6,1,175,138,166.95,-1.5707963267949,1.07876515388489,0.701149106025696,2.67097616195679,-4.24177265167236,-2.64956164360046
2,blue,5,1,375,138,166.95,-1.5707963267949,0.841676712036133,0.559655725955963,2.91583776473999,-4.48663425445557,-2.41247296333313
3,blue,4,1,575,138,166.95,-1.5707963267949,0.357134014368057,0.510452091693878,3.11756014823914,-4.68835639953613,-1.92793035507202
4,blue,3,1,775,138,166.95,-1.5707963267949,-0.357134014368057,0.510452091693878,3.11756014823914,-4.68835639953613,-1.21366238594055
5,blue,2,1,975,138,166.95,-1.5707963267949,-0.841676712036133,0.559655725955963,2.91583776473999,-4.48663425445557,-0.729119658470154
6,blue,1,1,1175,138,166.95,-1.5707963267949,-1.07876515388489,0.701149106025696,2.67097616195679,-4.24177265167236,-0.492031186819077
7,blue,6,2,175,338,166.95,-1.5707963267949,0.818443953990936,0.834984421730042,2.49539089202881,-4.06618738174438,-2.38924026489258
8,blue,5,2,375,338,166.95,-1.5707963267949,0.570040464401245,0.68958705663681,2.68758416175842,-4.25838041305542,-2.14083671569824
9,blue,4,2,575,338,166.95,-1.5707963267949,0.210509568452835,0.617711007595062,2.80051231384277,-4.37130880355835,-1.7813059091568
10,blue,3,2,775,338,166.95,-1.5707963267949,-0.210509568452835,0.617711007595062,2.80051231384277,-4.37130880355835,-1.36028683185577
11,blue,2,2,975,338,166.95,-1.5707963267949,-0.570040464401245,0.68958705663681,2.68758416175842,-4.25838041305542,-1.00075590610504
12,blue,1,2,1175,338,166.95,-1.5707963267949,-0.818443953990936,0.834984421730042,2.49539089202881,-4.06618738174438,-0.75235241651535
13,blue,6,3,175,538,166.95,-1.5707963267949,0.642542362213135,1.0557005405426,2.23929142951965,-3.81008768081665,-2.21333861351013
14,blue,5,3,375,538,166.95,-1.5707963267949,0.422106742858887,0.897422790527344,2.42009019851685,-3.99088644981384,-1.99290311336517
15,blue,4,3,575,538,166.95,-1.5707963267949,0.148597121238708,0.823231935501099,2.50992202758789,-4.08071851730347,-1.719393491745
16,blue,3,3,775,538,166.95,-1.5707963267949,-0.148597121238708,0.823231935501099,2.50992202758789,-4.08071851730347,-1.42219924926758
17,blue,2,3,975,538,166.95,-1.5707963267949,-0.422106742858887,0.897422790527344,2.42009019851685,-3.99088644981384,-1.1486896276474
18,blue,1,3,1175,538,166.95,-1.5707963267949,-0.642542362213135,1.0557005405426,2.23929142951965,-3.81008768081665,-0.928254008293152
19,blue,6,4,175,457,186.95,1.5707963267949,0.705531597137451,0.923636853694916,2.33013725280762,-3.90093350410461,0.865264773368835
20,blue,5,4,375,457,186.95,1.5707963267949,0.472466915845871,0.769099056720734,2.50488638877869,-4.07568264007568,1.09832942485809
21,blue,4,4,575,457,186.95,1.5707963267949,0.168737843632698,0.692717373371124,2.59641337394714,-4.16720962524414,1.4020584821701
22,blue,3,4,775,457,186.95,1.5707963267949,-0.168737843632698,0.692717373371124,2.59641337394714,-4.16720962524414,1.73953425884247
23,blue,2,4,975,457,186.95,1.5707963267949,-0.472466915845871,0.769099056720734,2.50488638877869,-4.07568264007568,2.04326319694519
24,blue,1,4,1175,457,186.95,1.5707963267949,-0.705531597137451,0.923636853694916,2.33013725280762,-3.90093350410461,2.27632808685303
