ID,TeamSide,RowIdx,ColIdx,X,Y,Z,Theta_rad,Theta1_rad,Theta2_rad,Theta3_rad,Theta2Prime_rad,Theta4_rad
1,red,1,1,175,138,166.95,-1.5707963267949,-0.990214705467224,-0.763791024684906,1.01974952220917,-2.59054589271545,-0.580581665039062
2,red,2,1,375,138,166.95,-1.5707963267949,-0.740841686725616,-0.910189867019653,1.25302040576935,-2.82381677627563,-0.82995468378067
3,red,3,1,575,138,166.95,-1.5707963267949,-0.295926034450531,-0.975258231163025,1.41675615310669,-2.98755240440369,-1.2748703956604
4,red,4,1,775,138,166.95,-1.5707963267949,0.295926034450531,-0.975258231163025,1.41675615310669,-2.98755240440369,-1.86672234535217
5,red,5,1,975,138,166.95,-1.5707963267949,0.740841686725616,-0.910189867019653,1.25302040576935,-2.82381677627563,-2.31163811683655
6,red,6,1,1175,138,166.95,-1.5707963267949,0.990214705467224,-0.763791024684906,1.01974952220917,-2.59054589271545,-2.56101107597351
7,red,1,2,175,338,166.95,-1.5707963267949,-0.758167564868927,-0.599429845809937,0.810285925865173,-2.38108229637146,-0.81262880563736
8,red,2,2,375,338,166.95,-1.5707963267949,-0.516695141792297,-0.753327369689941,1.00541079044342,-2.57620716094971,-1.05410122871399
9,red,3,2,575,338,166.95,-1.5707963267949,-0.187176942825317,-0.827546238899231,1.11199879646301,-2.68279504776001,-1.38361942768097
10,red,4,2,775,338,166.95,-1.5707963267949,0.187176942825317,-0.827546238899231,1.11199879646301,-2.68279504776001,-1.7579733133316
11,red,5,2,975,338,166.95,-1.5707963267949,0.516695141792297,-0.753327369689941,1.00541079044342,-2.57620716094971,-2.08749151229858
12,red,6,2,1175,338,166.95,-1.5707963267949,0.758167564868927,-0.599429845809937,0.810285925865173,-2.38108229637146,-2.32896399497986
13,red,1,3,175,538,166.95,-1.5707963267949,-0.601820826530457,-0.306907176971436,0.480727344751358,-2.05152368545532,-0.96897554397583
14,red,2,3,375,538,166.95,-1.5707963267949,-0.390883356332779,-0.504755675792694,0.699592649936676,-2.27038908004761,-1.17991304397583
15,red,3,3,575,538,166.95,-1.5707963267949,-0.136508345603943,-0.588182806968689,0.796856641769409,-2.36765289306641,-1.43428802490234
16,red,4,3,775,538,166.95,-1.5707963267949,0.136508345603943,-0.588182806968689,0.796856641769409,-2.36765289306641,-1.70730471611023
17,red,5,3,975,538,166.95,-1.5707963267949,0.390883356332779,-0.504755675792694,0.699592649936676,-2.27038908004761,-1.96167969703674
18,red,6,3,1175,538,166.95,-1.5707963267949,0.601820826530457,-0.306907176971436,0.480727344751358,-2.05152368545532,-2.17261719703674
19,red,1,4,175,457,186.95,1.5707963267949,-0.657932579517365,-0.421959638595581,0.657990574836731,-2.22878694534302,2.2287290096283
20,red,2,4,375,457,186.95,1.5707963267949,-0.434170573949814,-0.588048279285431,0.858277022838593,-2.42907333374023,2.00496697425842
21,red,3,4,575,457,186.95,1.5707963267949,-0.153346121311188,-0.663120210170746,0.95715743303299,-2.52795386314392,1.72414255142212
22,red,4,4,775,457,186.95,1.5707963267949,0.153346121311188,-0.663120210170746,0.95715743303299,-2.52795386314392,1.41745018959045
23,red,5,4,975,457,186.95,1.5707963267949,0.434170573949814,-0.588048279285431,0.858277022838593,-2.42907333374023,1.13662576675415
24,red,6,4,1175,457,186.95,1.5707963267949,0.657932579517365,-0.421959638595581,0.657990574836731,-2.22878694534302,0.912863790988922
